id,card_holder_name,timestamp,card_number,payment_amount,merchant_name
128,Clark King,"Feb 23, 2021 08:54",374942416265735,73,Adobe
129,Elvis Glenn,"Jul 14, 2021 11:03",2149 324588 72237,96,Yahoo
130,Clementine Hodge,"Sep 27, 2023 00:25",201496884457745,73,Adobe
131,Hilel Head,"Oct 21, 2021 21:12",6497 6333 6836 7376,91,Yahoo
132,Drew Watts,"Nov 15, 2022 14:14",6304248572729,60,Adobe
133,Zorita Harmon,"Jul 25, 2022 02:16",524717 296558 4682,59,Yahoo
134,Gregory Koch,"Apr 3, 2022 22:39",5038 4777 6688 6928,84,Yahoo
135,Roanna Giles,"Sep 26, 2022 18:31",3683 546367 63234,19,Adobe
136,Samson Burris,"Apr 10, 2021 11:22",3028 637112 28730,22,Adobe
137,Larissa Salinas,"Mar 5, 2022 17:48",201434588888451,82,Yahoo
138,Hannah Meyer,"May 17, 2023 07:54",362834598347387,82,Adobe
139,Carter Webster,"Mar 9, 2023 12:44",523433 627859 5355,43,Adobe
140,Mallory Chang,"Jan 13, 2022 08:50",675 96443 25658 529,66,Adobe
141,Caldwell Robles,"Apr 27, 2022 03:32",214947927673438,86,Adobe
142,Yeo Lindsey,"Nov 18, 2022 16:21",471 64438 85312 511,54,Yahoo
143,Reese Acosta,"Jul 2, 2023 19:49",2014 582243 55674,84,Adobe
144,Iola O'donnell,"Jan 27, 2022 00:05",4905592519288423675,62,Adobe
145,Clinton Guerrero,"Apr 30, 2022 23:26",5251343824439722,45,Yahoo
146,Mark Parsons,"Dec 19, 2022 04:55",630448 2716664727,56,Adobe
147,Hedley Burgess,"Jul 22, 2023 23:51",6492143545265290,34,Yahoo
148,Stacey Mccarty,"Jan 22, 2022 07:37",367263879354737,82,Adobe
149,Xavier Cline,"Apr 26, 2022 16:02",373453493622468,90,Adobe
150,Calista Wilcox,"Feb 14, 2023 09:11",366527675689863,42,Adobe
151,Juliet Kaufman,"Feb 19, 2022 10:39",6771386973282228,100,Adobe
152,Alvin Gentry,"Dec 18, 2021 23:55",644698 752225 5246,41,Yahoo
153,Flynn Holland,"May 26, 2021 16:00",515634 7535853812,5,Yahoo
154,Carla Quinn,"Sep 8, 2021 05:58",4485 187 96 4563,100,Adobe
155,Gannon Roy,"Oct 5, 2023 03:27",4508482676645459,5,Adobe
156,Kirk Moran,"Jan 3, 2023 02:59",670661436754285357,70,Adobe
157,Tana Stein,"Jan 27, 2021 14:46",648 52753 35578 380,96,Adobe
158,Zephr Montgomery,"May 5, 2023 14:34",448511 685918 2867,5,Adobe
159,Orlando Mckay,"Mar 9, 2022 18:21",301686137587384,38,Yahoo
160,Xandra Hendricks,"Nov 26, 2021 14:14",6763 725857 73266,82,Adobe
161,Adena Rivera,"Jun 6, 2023 11:31",2149 741554 48564,67,Adobe
162,Stacy Lang,"Mar 23, 2022 19:20",670662 879696 2779,38,Adobe
163,Oliver Hyde,"Jan 21, 2023 11:09",6709 3166 8864 8121,93,Adobe
164,Jolene Dominguez,"Jan 5, 2022 10:31",302667265994484,46,Adobe
165,Joy Bullock,"Dec 14, 2021 04:36",304858366157786,58,Adobe
166,Colton Mccoy,"Apr 30, 2023 01:33",214967748973510,78,Adobe
167,Clare Wood,"May 27, 2022 02:58",556274 356523 8932,73,Yahoo
168,Jermaine Dixon,"Sep 29, 2022 15:55",417500 2572637939,55,Yahoo
169,Flynn Kelley,"Sep 23, 2022 16:00",453218 2462569729,17,Yahoo
170,Wanda Bailey,"Nov 30, 2021 05:55",6762869666262,47,Adobe
171,Honorato Chambers,"Aug 4, 2023 03:14",6767 2746 5823 6360,10,Adobe
172,Ina Cain,"Apr 12, 2023 04:55",630461511835469448,70,Adobe
173,Lawrence Cleveland,"May 7, 2022 02:13",4844 6478 8253 6360,80,Adobe
174,Genevieve Skinner,"Mar 19, 2022 03:06",4539786822767758,52,Adobe
175,Lenore Randall,"Jun 24, 2021 03:05",3009 247883 59774,29,Adobe
176,Salvador Garner,"Sep 29, 2022 17:45",491176 55 2254 5322 861,82,Adobe
177,Charity Parsons,"Feb 10, 2022 22:23",6567383667759825,6,Yahoo
178,Norman Marks,"Aug 18, 2023 04:24",633471 72 3568 7731 987,88,Adobe
179,Wendy Marsh,"Aug 19, 2023 07:25",304886745924378,49,Adobe
180,Geoffrey Whitney,"Jul 13, 2021 13:45",3732 397265 15334,21,Yahoo
181,Illana Gallagher,"Apr 23, 2021 19:59",4532494727744,57,Adobe
182,Walker Padilla,"Dec 20, 2022 08:25",67714568746734450,49,Yahoo
183,Preston Skinner,"Sep 30, 2023 19:31",648267 849316 9921,18,Adobe
184,Ivor Key,"Dec 19, 2021 04:47",3697 595236 34489,12,Adobe
185,Emmanuel Caldwell,"Apr 27, 2023 05:44",362682614192745,17,Yahoo
186,Macy Reid,"May 20, 2021 12:50",3014 278357 46489,36,Adobe
187,Rama Chambers,"Jun 6, 2023 14:21",6331103648529435,55,Adobe
188,Quinlan Silva,"Apr 9, 2022 16:07",3783 533248 64583,74,Adobe
189,Lyle Luna,"Feb 21, 2021 08:07",6762864662449,38,Adobe
190,Elmo Santiago,"Dec 29, 2021 20:06",490554 44 5629 7954 854,52,Yahoo
191,Martin Hansen,"Mar 9, 2023 12:33",5393652768681456,89,Yahoo
192,Ginger Campbell,"Mar 16, 2023 17:07",4485274465275433,39,Yahoo
193,Carson Daugherty,"Apr 15, 2023 04:54",675964668831742249,21,Adobe
194,Nerea Lambert,"Mar 14, 2023 21:44",4026353867724663,61,Adobe
195,Kimberly Cardenas,"Jan 20, 2022 14:50",367534738884373,94,Adobe
196,Wang Rosario,"Jul 27, 2022 08:11",4485498454361,12,Yahoo
197,Brett Manning,"Feb 17, 2022 11:32",6334292257547344721,93,Yahoo
198,Catherine Knapp,"Nov 30, 2021 07:52",402685 748462 2290,40,Adobe
199,Echo Barr,"Apr 25, 2022 05:01",525175 799637 5655,11,Yahoo
200,Kiayada Valdez,"Jan 25, 2022 23:28",4917365749487733,54,Adobe
201,Linda Rice,"Nov 2, 2023 21:09",448525 725681 3876,76,Adobe
202,Elaine Wright,"Jan 3, 2021 14:53",676 28718 52929 362,87,Yahoo
203,John Parrish,"Apr 11, 2023 06:21",564 18287 47757 449,35,Yahoo
204,Louis Bolton,"Apr 26, 2021 10:33",644 95427 82996 182,99,Adobe
205,Iola Pennington,"Jul 1, 2021 03:16",5115624596486991,80,Yahoo
206,Hamish Morrow,"Jul 16, 2021 10:55",304696488286566,2,Yahoo
207,Kristen Stevens,"Jun 16, 2021 14:34",3653 668437 87627,59,Yahoo
208,Herrod Kelley,"Oct 8, 2023 18:29",377481457188727,11,Yahoo
209,Garrison Green,"May 4, 2022 05:43",676 76672 87459 156,29,Adobe
210,Porter Conner,"Sep 25, 2021 11:23",4911 5136 7585 1226,73,Adobe
211,Wang Winters,"Jul 4, 2021 00:43",6304135876877284399,51,Yahoo
212,Candice Gutierrez,"Apr 23, 2023 19:33",633110 8262136771,73,Adobe
213,Erica Davis,"Oct 23, 2021 19:42",670 65351 56745 720,35,Adobe
214,Caesar Lara,"May 20, 2022 07:44",3047 775889 73459,40,Adobe
215,Halee Chapman,"Dec 24, 2022 21:57",6763371799775857548,21,Yahoo
216,Cooper Brewer,"Sep 17, 2022 22:40",6763259352597450,61,Adobe
217,Mohammad Franco,"Jan 18, 2021 08:44",3758 115361 52520,55,Yahoo
218,Jennifer Sims,"Aug 8, 2022 20:33",2149 133278 46636,69,Yahoo
219,Ivan Randolph,"Sep 23, 2021 04:48",6767928361842869,81,Yahoo
220,Craig Mcdowell,"Apr 5, 2021 22:42",6771 9633 2773 1231,84,Yahoo
221,Teagan Abbott,"Nov 5, 2021 08:56",4903265573876873289,95,Yahoo
222,Ginger Fulton,"Feb 2, 2022 18:10",491655 8354486849,55,Yahoo
223,Aiko Monroe,"May 10, 2022 22:51",491356 6472268166,57,Yahoo
224,Arsenio Mcdowell,"Sep 12, 2021 09:13",676 76796 45465 726,32,Yahoo
225,Tate Ayers,"Jan 2, 2022 05:05",2014 564757 36980,27,Adobe
226,Justine Knowles,"Mar 21, 2022 13:14",491156 3722825186,26,Adobe
227,Colorado Kirkland,"Feb 22, 2022 06:02",365813459854472,26,Yahoo
228,Clio Whitehead,"May 30, 2021 15:47",633464847684636476,9,Adobe
229,Audrey Aguirre,"Feb 20, 2022 05:50",677135 133877 6389,22,Adobe
230,Boris Mckee,"Jun 19, 2021 00:30",5641829338432174372,19,Adobe
231,Lars Sullivan,"Sep 6, 2021 12:58",3646 425474 25818,91,Yahoo
232,Alan Mcdaniel,"Jul 14, 2023 10:10",4936628329274673,58,Yahoo
233,Jonah Calhoun,"Aug 12, 2021 17:11",4026 5388 5288 1573,56,Adobe
234,Kenyon Griffin,"Mar 17, 2021 22:04",375982235153687,63,Yahoo
235,Cally Carlson,"Feb 14, 2021 06:34",6334855469388327,37,Adobe
236,Macaulay Sutton,"Oct 29, 2023 09:28",675937 598445 7669,65,Yahoo
237,Lewis Moon,"Jan 20, 2021 13:29",633445418462994885,85,Adobe
238,Carissa Hahn,"Aug 29, 2021 22:27",670679 4344618469,58,Adobe
239,Freya Silva,"Aug 4, 2023 15:23",2149 666524 97342,72,Adobe
240,Orlando Hurst,"Nov 25, 2020 18:50",4916 917 64 8860,90,Adobe
241,Tanek Wyatt,"Dec 6, 2020 01:21",670632 855856 7979,83,Adobe
242,Beatrice Bowen,"Nov 28, 2022 21:19",6333458192373350,11,Adobe
243,Leonard Rosa,"Feb 20, 2022 23:11",3634 674168 44431,38,Yahoo
244,Coby Leblanc,"Aug 18, 2023 00:16",6499 9629 3531 1270,96,Adobe
245,Renee Hubbard,"Aug 1, 2021 16:03",6763895285261266,64,Adobe
246,Tanek Howell,"Jul 28, 2022 12:55",3725 778455 54986,90,Adobe
247,Zahir Gutierrez,"May 29, 2023 18:10",214953588573453,38,Adobe
248,Amir Sykes,"Apr 16, 2022 03:16",5038 4463 4767 6959,63,Adobe
249,Frances Ellis,"Aug 22, 2021 07:22",644 66268 44279 548,33,Adobe
250,Griffin Wilkins,"Oct 25, 2022 05:58",367666458254864,91,Adobe
251,Sacha Pickett,"Jan 27, 2021 17:44",304747295758212,71,Adobe
252,Elmo Brown,"Feb 17, 2021 09:19",653998 5885555226,74,Adobe
253,Aladdin Durham,"Jan 28, 2021 08:08",491395 5694821193,32,Yahoo
254,Abra Davis,"Aug 18, 2022 01:38",3654 268877 25329,34,Yahoo
255,Cara Decker,"Aug 10, 2022 05:36",4363158521635754,21,Yahoo
256,Deirdre Adkins,"Dec 23, 2021 08:59",6334 8413 9555 3457,22,Yahoo
257,Halee Levine,"Jul 27, 2022 07:14",5142594763447281,71,Yahoo
258,Dorian Hicks,"Oct 6, 2022 00:26",516647 363729 8165,27,Yahoo
259,Sylvester Spencer,"Nov 19, 2021 15:23",3042 922131 74473,77,Yahoo
260,Lawrence Franco,"Jun 30, 2022 17:34",5194433972873465,36,Yahoo
261,Xaviera Townsend,"Sep 4, 2022 05:16",676784 2387358513,65,Adobe
262,Dawn House,"Apr 22, 2023 07:04",368468155795557,61,Adobe
263,Arden Harris,"Apr 30, 2022 00:11",6457 2471 8344 6824,44,Yahoo
264,Ferris Diaz,"Dec 21, 2021 08:56",214934723678456,69,Adobe
265,Victoria Fuentes,"Apr 21, 2021 06:18",4024007154986821,88,Adobe
266,Mason Gibbs,"Nov 10, 2020 04:55",3723 937254 78829,89,Adobe
267,Zephr Madden,"Apr 22, 2021 05:58",5893815874162,100,Yahoo
268,Evangeline Strong,"Nov 26, 2021 04:23",4903 5676 4658 3342,96,Yahoo
269,Amena Daniel,"Mar 29, 2023 05:15",4913 3257 3853 8353,28,Adobe
270,Ursula Wilkerson,"May 30, 2023 02:38",4508383614253622,1,Adobe
271,Zachery Lawson,"Sep 28, 2021 05:23",545 67673 47541 544,18,Yahoo
272,Jesse May,"Jan 12, 2021 00:52",343263117725143,49,Yahoo
273,Mohammad Goodman,"Feb 20, 2022 11:09",374776574973320,53,Yahoo
274,Erin Mcintyre,"Jan 4, 2023 09:38",366291752496367,40,Yahoo
275,Shana Williamson,"Feb 13, 2023 00:46",546487 8327762982,19,Yahoo
276,Barry Johns,"Aug 6, 2021 18:23",557549 767663 3557,46,Yahoo
277,Phoebe Stokes,"Sep 14, 2023 00:56",3478 925136 36177,22,Yahoo
278,Nomlanga Cotton,"Jul 11, 2022 01:54",67098854361849161,27,Yahoo
279,Kenyon Mendoza,"Jan 15, 2021 17:23",644437 7264596415,33,Yahoo
280,Nola Atkinson,"Apr 9, 2023 08:37",484 44353 95957 756,20,Adobe
281,Colton Pate,"Sep 10, 2022 21:38",646433 8552328544,70,Yahoo
282,Frances Mays,"Sep 5, 2021 02:39",201493528863842,12,Adobe
283,Shaeleigh Finch,"Jul 6, 2023 08:26",490335 3266267924,43,Adobe
284,Tatum Mccray,"Feb 19, 2023 05:11",633373 376439 3352,74,Adobe
285,Ronan Flores,"Aug 29, 2023 18:38",645581 729576 5816,67,Adobe
286,Thaddeus Bartlett,"Oct 17, 2023 07:35",676742 8527755279,75,Yahoo
287,Ashton Boyle,"Feb 18, 2023 04:10",448576 628882 9395,46,Yahoo
288,Harlan Larson,"Oct 12, 2023 22:46",6761 868598 15292,46,Adobe
289,Carly Caldwell,"Oct 23, 2023 04:59",630452929427869331,10,Yahoo
290,Hashim Frank,"Dec 28, 2020 04:56",6767685536742875,72,Adobe
291,Cameran Hendricks,"Sep 4, 2021 16:25",676746 839588 5675,24,Yahoo
292,Evan Herring,"Sep 1, 2023 13:53",4913252739172182,23,Yahoo
293,Keegan Simmons,"Nov 4, 2022 08:38",304945773545461,29,Yahoo
294,Hope Michael,"Dec 16, 2022 00:22",368482256731858,90,Adobe
295,Ayanna Mcclure,"Jan 15, 2023 15:19",676764 796536 5883,88,Adobe
296,Mark O'Neill,"Mar 26, 2022 03:17",6304 8548 6665 4544,27,Yahoo
297,Zia Roberts,"Oct 30, 2023 13:14",630457536492,78,Adobe
298,Armando Mckenzie,"Jan 13, 2021 11:14",302563634248472,28,Adobe
299,Ariana Hicks,"Jun 12, 2022 20:06",5038 252 43 4175,4,Yahoo
300,Serena Maddox,"Jul 21, 2021 21:04",214934172637375,13,Yahoo
301,Leigh Knapp,"Dec 12, 2022 22:21",484478 8446437636,25,Yahoo
302,Hilary Reyes,"May 28, 2021 21:14",4936696622262722813,84,Adobe
303,Hamilton Castaneda,"Feb 5, 2023 01:32",56451557658638,99,Yahoo
304,Athena Clay,"May 23, 2022 22:06",4936 7679 4639 4769,40,Yahoo
305,Victor Dejesus,"May 16, 2023 08:19",526 74853 78354 757,84,Yahoo
306,Kay Potts,"Mar 15, 2023 16:14",4175 0042 8783 5691,86,Adobe
307,Kaseem Carney,"Aug 18, 2022 22:16",373216553584658,22,Yahoo
308,Sigourney Orr,"Apr 16, 2023 14:32",4556 524 58 4791,79,Adobe
309,Simone Fulton,"Oct 27, 2021 05:08",490 33528 33584 688,12,Yahoo
310,Bethany Reyes,"Jul 21, 2022 07:49",3665 998358 13881,67,Adobe
311,Hayden Warren,"Mar 29, 2023 14:27",3636 421953 53479,86,Adobe
312,Hu Guerra,"Sep 22, 2021 04:55",3027 864154 43836,9,Adobe
313,Eliana Mathis,"Jun 30, 2022 11:11",348834285776830,78,Yahoo
314,Sheila Pacheco,"Mar 16, 2022 13:07",676372 4162446867,65,Yahoo
315,Caleb Gardner,"Jun 4, 2021 19:31",417500 3823574533,46,Adobe
316,Bell Harrison,"Jul 13, 2021 04:58",5641825417887860,60,Adobe
317,Molly Vang,"May 27, 2021 08:11",3632 265773 27382,77,Yahoo
318,Wallace Hicks,"Nov 14, 2021 10:35",646915 8923134925,27,Adobe
319,Darius Valentine,"Nov 14, 2022 18:53",2014 972324 86550,45,Yahoo
320,Timothy Fletcher,"Jul 10, 2022 15:13",3027 493523 99783,96,Yahoo
321,Blake Oneil,"Apr 25, 2021 05:31",633415 44 6466 9928 482,79,Adobe
322,Isabella Alvarado,"Aug 25, 2022 17:51",536525 543812 2564,84,Yahoo
323,Sopoline Miller,"Nov 23, 2021 18:13",3043 824844 24622,93,Adobe
324,Nita Rivera,"Feb 11, 2023 18:57",361425688614868,25,Yahoo
325,Martha Romero,"Jun 17, 2022 23:40",3465 286478 87853,2,Yahoo
326,Christine Malone,"Aug 19, 2023 08:51",676774934951876342,44,Adobe
327,Lenore Romero,"Mar 20, 2022 14:38",552341 6752675616,19,Adobe
328,Connor Rodriquez,"Oct 4, 2021 10:03",4917586264833874,89,Yahoo
329,Melodie Singleton,"Jun 12, 2023 19:11",676782 786282 6829,7,Adobe
330,Reece Brooks,"Jun 7, 2021 20:07",4844567284855848,74,Adobe
331,Shea Lawson,"Nov 28, 2022 06:00",490 32459 66726 789,60,Yahoo
332,Kirsten Schroeder,"Oct 8, 2022 13:21",491348 1954472585,9,Adobe
333,Palmer Barlow,"Feb 8, 2023 20:36",3713 688835 55445,74,Yahoo
334,Hashim Edwards,"Jul 21, 2022 04:40",2014 287273 73326,76,Adobe
335,Leilani Cross,"Nov 18, 2022 09:11",348456932632859,4,Adobe
336,Matthew Levy,"Jan 26, 2022 17:50",344784832249746,91,Adobe
337,Uriah Watson,"Nov 16, 2020 23:53",545 26728 95274 676,69,Adobe
